size,stride,ns
4096,4,0.204665
4096,8,0.120117
4096,16,0.121420
4096,32,0.137705
4096,64,0.254837
4096,128,-0.086143
4096,256,0.218364
4096,512,0.138684
4096,1024,-0.115365
4096,2048,0.327200
8192,4,0.118703
8192,8,0.119350
8192,16,0.119902
8192,32,0.120331
8192,64,0.136981
8192,128,0.270289
8192,256,-0.094225
8192,512,0.230970
8192,1024,0.199953
8192,2048,-0.087775
8192,4096,0.330615
16384,4,0.118867
16384,8,0.124136
16384,16,0.118479
16384,32,0.129398
16384,64,0.124197
16384,128,0.154531
16384,256,0.256622
16384,512,0.060485
16384,1024,0.243312
16384,2048,0.255662
16384,4096,-0.135708
16384,8192,0.449501
32768,4,0.160244
32768,8,0.081898
32768,16,0.072713
32768,32,0.141550
32768,64,0.136331
32768,128,0.129762
32768,256,0.144435
32768,512,0.280727
32768,1024,0.039976
32768,2048,0.423622
32768,4096,0.619481
32768,8192,-0.060133
32768,16384,0.363576
65536,4,0.138286
65536,8,0.144819
65536,16,0.207742
65536,32,0.247433
65536,64,0.670689
65536,128,1.139638
65536,256,1.160167
65536,512,1.763561
65536,1024,2.422038
65536,2048,1.915580
65536,4096,3.142894
65536,8192,0.631054
65536,16384,-0.063654
65536,32768,0.325714
131072,4,0.159170
131072,8,0.157013
131072,16,0.216640
131072,32,0.253507
131072,64,0.737311
131072,128,1.215472
131072,256,1.319327
131072,512,2.108159
131072,1024,2.426917
131072,2048,3.073657
131072,4096,3.846915
131072,8192,3.150524
131072,16384,0.752287
131072,32768,-0.025803
131072,65536,0.431601
262144,4,0.158444
262144,8,0.161205
262144,16,0.271797
262144,32,0.226148
262144,64,0.970610
262144,128,1.552164
262144,256,1.649050
262144,512,2.358220
262144,1024,2.630469
262144,2048,3.265381
262144,4096,4.032008
262144,8192,3.636706
262144,16384,3.083869
262144,32768,0.628334
262144,65536,-0.082245
262144,131072,0.381870
524288,4,0.133456
524288,8,0.198915
524288,16,0.245593
524288,32,0.546516
524288,64,1.309522
524288,128,2.586986
524288,256,2.920628
524288,512,3.811364
524288,1024,4.052395
524288,2048,4.349922
524288,4096,4.236827
524288,8192,5.286898
524288,16384,4.038014
524288,32768,3.145530
524288,65536,0.770240
524288,131072,-0.031176
524288,262144,0.388675
1048576,4,0.171047
1048576,8,0.193138
1048576,16,0.262683
1048576,32,0.579382
1048576,64,1.333014
1048576,128,2.740537
1048576,256,3.535881
1048576,512,4.723024
1048576,1024,5.035496
1048576,2048,4.507208
1048576,4096,4.169252
1048576,8192,4.573822
1048576,16384,5.397197
1048576,32768,4.315042
1048576,65536,4.467392
1048576,131072,0.706002
1048576,262144,-0.042440
1048576,524288,0.341216
2097152,4,0.177281
2097152,8,0.238959
2097152,16,0.291755
2097152,32,0.563771
2097152,64,1.358954
2097152,128,2.638599
2097152,256,3.050391
2097152,512,4.008255
2097152,1024,4.298820
2097152,2048,4.275742
2097152,4096,4.282074
2097152,8192,4.713154
2097152,16384,4.826641
2097152,32768,5.322552
2097152,65536,4.720402
2097152,131072,4.232597
2097152,262144,0.900609
2097152,524288,0.056956
2097152,1048576,0.501230
4194304,4,0.241460
4194304,8,0.360470
4194304,16,0.555317
4194304,32,1.019514
4194304,64,2.035332
4194304,128,3.251553
4194304,256,3.759766
4194304,512,4.618788
4194304,1024,6.258821
4194304,2048,8.821106
4194304,4096,10.489750
4194304,8192,7.534218
4194304,16384,5.244303
4194304,32768,5.471897
4194304,65536,6.920481
4194304,131072,6.081152
4194304,262144,4.531288
4194304,524288,1.241414
4194304,1048576,-0.034205
4194304,2097152,0.373300
8388608,4,0.303084
8388608,8,0.508237
8388608,16,0.940812
8388608,32,1.842912
8388608,64,4.000854
8388608,128,10.800457
8388608,256,12.654924
8388608,512,12.647676
8388608,1024,17.441177
8388608,2048,18.217325
8388608,4096,16.678095
8388608,8192,12.136126
8388608,16384,11.147547
8388608,32768,11.975002
8388608,65536,6.723499
8388608,131072,6.534719
8388608,262144,5.003214
8388608,524288,4.319668
8388608,1048576,0.477099
8388608,2097152,-0.410166
8388608,4194304,-3.188101
16777216,4,4.453993
16777216,8,0.519192
16777216,16,1.037073
16777216,32,3.004122
16777216,64,20.339513
16777216,128,10.753465
16777216,256,14.544559
16777216,512,16.942620
16777216,1024,18.443298
16777216,2048,21.703053
16777216,4096,16.569376
16777216,8192,19.403386
16777216,16384,13.171673
16777216,32768,12.831068
16777216,65536,7.839203
16777216,131072,6.556559
16777216,262144,5.812216
16777216,524288,5.042529
16777216,1048576,3.820086
16777216,2097152,0.835848
16777216,4194304,0.077271
16777216,8388608,0.433095
33554432,4,0.296676
33554432,8,0.583380
33554432,16,1.127565
33554432,32,2.463531
33554432,64,5.866361
33554432,128,11.095655
33554432,256,14.806986
33554432,512,13.448811
33554432,1024,16.160142
33554432,2048,22.861898
33554432,4096,18.406272
33554432,8192,19.434714
33554432,16384,19.149792
33554432,32768,14.596963
33554432,65536,11.865926
33554432,131072,6.295550
33554432,262144,6.200337
33554432,524288,5.615127
33554432,1048576,4.573488
33554432,2097152,3.321600
33554432,4194304,0.776684
33554432,8388608,0.057715
33554432,16777216,0.419158
67108864,4,0.362974
67108864,8,0.578833
67108864,16,1.116294
67108864,32,2.392465
67108864,64,5.900091
67108864,128,11.065453
67108864,256,14.345002
67108864,512,23.764616
67108864,1024,28.470194
67108864,2048,32.710546
67108864,4096,21.780854
67108864,8192,20.406419
67108864,16384,22.112423
67108864,32768,23.967671
67108864,65536,17.355114
67108864,131072,8.206725
67108864,262144,4.809487
67108864,524288,4.999316
67108864,1048576,4.916334
67108864,2097152,4.006654
67108864,4194304,3.215891
67108864,8388608,0.805497
67108864,16777216,-0.026309
67108864,33554432,0.421429
